2019-11-03 18:33:55.7809 | HotelEpam.Controllers.HomeController.ActuallyBookings | DEBUG | Обращение к базе данных, получение обработанных запросов 

2019-11-03 18:33:56.9379 | HotelEpam.Controllers.HomeController.DeleteBooking | DEBUG | Обращение к базе данных, для изменения статуса бронирования 

2019-11-03 18:33:56.9568 | HotelEpam.Controllers.HomeController.DeleteBooking | INFO | Бронирование снято 

2019-11-03 18:33:56.9928 | HotelEpam.Controllers.HomeController.ActuallyBookings | DEBUG | Обращение к базе данных, обновление статуса бронирований 

2019-11-03 18:33:57.0296 | HotelEpam.Controllers.HomeController.ActuallyBookings | DEBUG | Обращение к базе данных, получение обработанных запросов 

2019-11-03 18:33:58.2440 | HotelEpam.Controllers.HomeController.DeleteBooking | DEBUG | Обращение к базе данных, для изменения статуса бронирования 

2019-11-03 18:33:58.2440 | HotelEpam.Controllers.HomeController.DeleteBooking | INFO | Бронирование снято 

2019-11-03 18:33:58.2898 | HotelEpam.Controllers.HomeController.ActuallyBookings | DEBUG | Обращение к базе данных, обновление статуса бронирований 

2019-11-03 18:33:58.3138 | HotelEpam.Controllers.HomeController.ActuallyBookings | DEBUG | Обращение к базе данных, получение обработанных запросов 

2019-11-03 18:33:59.3900 | HotelEpam.Controllers.HomeController.DeleteBooking | DEBUG | Обращение к базе данных, для изменения статуса бронирования 

2019-11-03 18:33:59.4050 | HotelEpam.Controllers.HomeController.DeleteBooking | INFO | Бронирование снято 

2019-11-03 18:33:59.4289 | HotelEpam.Controllers.HomeController.ActuallyBookings | DEBUG | Обращение к базе данных, обновление статуса бронирований 

2019-11-03 18:33:59.4548 | HotelEpam.Controllers.HomeController.ActuallyBookings | DEBUG | Обращение к базе данных, получение обработанных запросов 

2019-11-03 18:34:00.4921 | HotelEpam.Controllers.HomeController.DeleteBooking | DEBUG | Обращение к базе данных, для изменения статуса бронирования 

2019-11-03 18:34:00.5031 | HotelEpam.Controllers.HomeController.DeleteBooking | INFO | Бронирование снято 

