2019-11-06 03:08:59.2463 | HotelEpam.Controllers.AccountController.Authorization | INFO | Пользователь alex-on-99 выполнил вход на сайт 

2019-11-06 03:09:01.8014 | HotelEpam.Controllers.HomeController.ActuallyBookings | DEBUG | Обращение к базе данных, обновление статуса бронирований 

2019-11-06 03:09:01.8372 | HotelEpam.Controllers.HomeController.ActuallyBookings | DEBUG | Обращение к базе данных, получение обработанных запросов 

2019-11-06 03:09:05.4289 | HotelEpam.Controllers.HomeController.ReportUser | DEBUG | Обращение к базе данных, жалоба на пользователя 

2019-11-06 03:09:05.4648 | HotelEpam.Controllers.HomeController.ReportUser | DEBUG | Жалоба на пользователя была оставлена 

2019-11-06 03:09:07.3368 | HotelEpam.Controllers.AccountController.Authorization | DEBUG | Обращение к базе данных для получения данных о пользователе 

2019-11-06 03:09:07.3418 | HotelEpam.Controllers.AccountController.Authorization | DEBUG | Ошибка входа, пользователь sanya123 заблокирован в системе 

2019-11-06 03:09:07.3418 | HotelEpam.Controllers.AccountController.Authorization | INFO | Отказ входа. некорректные данные 

2019-11-06 03:09:16.8144 | HotelEpam.Controllers.AccountController.Authorization | DEBUG | Обращение к базе данных для получения данных о пользователе 

2019-11-06 03:09:16.8283 | HotelEpam.Controllers.AccountController.Authorization | DEBUG | Ошибка входа, пользователь sanya123 заблокирован в системе 

2019-11-06 03:09:16.8283 | HotelEpam.Controllers.AccountController.Authorization | INFO | Отказ входа. некорректные данные 

2019-11-06 03:09:19.0676 | HotelEpam.Controllers.AccountController.Authorization | DEBUG | Обращение к базе данных для получения данных о пользователе 

2019-11-06 03:09:19.0784 | HotelEpam.Controllers.AccountController.Authorization | DEBUG | Ошибка входа, пользователь sanya123 заблокирован в системе 

2019-11-06 03:09:19.0784 | HotelEpam.Controllers.AccountController.Authorization | INFO | Отказ входа. некорректные данные 

2019-11-06 03:09:19.9876 | HotelEpam.Controllers.AccountController.Authorization | DEBUG | Обращение к базе данных для получения данных о пользователе 

2019-11-06 03:09:19.9976 | HotelEpam.Controllers.AccountController.Authorization | DEBUG | Ошибка входа, пользователь sanya123 заблокирован в системе 

2019-11-06 03:09:19.9976 | HotelEpam.Controllers.AccountController.Authorization | INFO | Отказ входа. некорректные данные 

2019-11-06 03:09:20.8454 | HotelEpam.Controllers.AccountController.Authorization | DEBUG | Обращение к базе данных для получения данных о пользователе 

2019-11-06 03:09:20.8535 | HotelEpam.Controllers.AccountController.Authorization | DEBUG | Ошибка входа, пользователь sanya123 заблокирован в системе 

2019-11-06 03:09:20.8535 | HotelEpam.Controllers.AccountController.Authorization | INFO | Отказ входа. некорректные данные 

2019-11-06 03:10:56.2171 | HotelEpam.Controllers.AccountController.Authorization | DEBUG | Обращение к базе данных для получения данных о пользователе 

2019-11-06 03:10:56.2341 | HotelEpam.Controllers.AccountController.Authorization | DEBUG | Обращение к базе данных для проверки подлиности данных авторизации 

2019-11-06 03:10:56.2341 | HotelEpam.Controllers.AccountController.Authorization | INFO | Пользователь alex-on-99 выполнил вход на сайт 

